,model,lnL,AIC,AICc,timing,tree.no,delta,w
1630,DensDep,200.456347779925,-396.912695559849,-396.848179430817,NA,96,17.250575669183,9.32613173302481e-05
1631,JN,201.090251491298,-396.180502982596,-396.050773252866,NA,96,18.047981847134,6.25960594258617e-05
1632,NIG,197.882349442904,-389.764698885809,-389.634969156079,NA,96,24.463785943921,2.53147029766638e-06
1633,BM,207.5219129,-409.0438258,-408.9140961,NA96,97,23.941381,3.55671002195593e-06
1634,EB,218.3158736,-428.6317473,-428.414356,NA96,97,4.44112109999998,0.0610205466297602
1635,OU,207.5219129,-407.0438258,-406.8264345,NA96,97,26.0290426,1.25232918625504e-06
1636,kappa,208.772389,-409.544778,-409.3273867,NA96,97,23.5280904,4.37313991202743e-06
1637,delta,211.7701226,-415.5402451,-415.3228538,NA96,97,17.5326233,8.7638010744421e-05
1638,lambda,207.5219129,-407.0438258,-406.8264345,NA96,97,26.0290426,1.25232918625504e-06
1639,ts ,211.8441978,-417.6883955,-417.5579607,NA 1191,97,15.2975163999999,0.000267941391037754
1640,trc ,220.1346311,-432.2692622,-432.0506829,NA 1138,97,0.804794199999947,0.375919147662644
1641,src ,219.4929559,-432.9859119,-432.8554771,NA 1151,97,0,0.562151388095723
1642,bms ,212.648462,-415.296924,-414.9690552,37.84273427,97,17.8864219,7.34287476600848e-05
1643,ous ,208.7418066,-407.4836133,-407.1557444,10.13041187,97,25.6997327,1.47647887768935e-06
1644,ouma ,207.6942729,-403.3885457,-402.9270073,34.88403845,97,29.9284698,1.78225008628849e-07
1645,oumv ,214.2937488,-416.5874976,-416.1259591,27.341954,97,16.729518,0.000130943700865048
1646,oumva ,216.1910296,-418.3820591,-417.7632746,a 23.9352244376464,97,15.0922025,0.000296908858044862
1647,DensDep,208.901425822628,-413.802851645257,-413.738335516224,NA,97,19.1171415837759,3.96843012329182e-05
1648,JN,204.604811529005,-403.20962305801,-403.07989332828,NA,97,29.77558377172,1.92383323746169e-07
1649,NIG,203.856255583937,-401.712511167874,-401.582781438145,NA,97,31.272695661855,9.10067713776271e-08
1650,BM,211.9537621,-417.9075242,-417.7777945,NA97,98,25.6677068,1.84556558730075e-06
1651,EB,222.1330749,-436.2661498,-436.0487585,NA97,98,7.39674279999997,0.0171245396650773
1652,OU,211.9537621,-415.9075242,-415.6901329,NA97,98,27.7553684,6.49829656018334e-07
1653,kappa,212.12997,-416.25994,-416.0425487,NA97,98,27.4029526,7.75042728110868e-07
1654,delta,217.5431133,-427.0862266,-426.8688353,NA97,98,16.576666,0.000173869702397064
1655,lambda,211.9537621,-415.9075242,-415.6901329,NA97,98,27.7553684,6.49829656018334e-07
1656,ts ,218.8061647,-431.6123295,-431.4818947,NA 1192,98,11.9636066,0.00174556904523356
1657,trc ,224.788013,-441.5760259,-441.3574467,NA 1139,98,2.08805459999996,0.243436615556783
1658,src ,224.787968,-443.5759361,-443.4455013,NA 1152,98,0,0.691514350026039
1659,bms ,215.9356008,-421.8712017,-421.5433328,51.61338528,98,21.9021685,1.21284621219601e-05
1660,ous ,213.4219018,-416.8438036,-416.5159348,26.32496498,98,26.9295665,9.8201954447444e-07
1661,ouma ,224.3150706,-436.6301412,-436.1686028,21.76395803,98,7.27689850000002,0.0181820465317231
1662,oumv ,216.7258685,-421.4517371,-420.9901986,36.33251458,98,22.4553027,9.19801621406457e-06
